index,text,category,color
1,バスの本数を全体的に増やしてほしい(特に土日)。,願い・要望,#FFE066
2,バスの本数増やして欲しい,願い・要望,#FFE066
3,"テスト期間のバスの混みがすごいから、バスの本数を増やすなりしてほしい。
定期も買っているのに乗れないという状況がおかしい。",願い・要望,#FFE066
4,バスが少ない,怒り・不満,#FF5C5C
5,朝7時のバスと休日の19時のバスを増やしてほしい,願い・要望,#FFE066
6,土日のバスの本数が少ないこと。,怒り・不満,#FF5C5C
7,バスの本数増やして,願い・要望,#FFE066
8,土日のバス少ない,怒り・不満,#FF5C5C
9,土日のバスを増便してほしい,願い・要望,#FFE066
10,テスト期間のバス増便が少し時間がずれていて意味をなしてない。テスト終わった後の時間に増便してほしい。,願い・要望,#FFE066
11,バスの本数がすこし少なくてテスト期間中は行列ができてしまう,怒り・不満,#FF5C5C
12,バスの増便,願い・要望,#FFE066
13,"テスト期間中のバスの便の時間帯を、生徒が利用する時間に変えてほしい。
バスが早すぎて乗れないから、みんな経由バスに乗って一般の人が乗れなくなってる。それで便数が多いはずなのに、人が多くてスムーズに帰れない。",願い・要望,#FFE066
14,バスの本数増やしてほしい,願い・要望,#FFE066
15,バスの本数を増やしてほしい,願い・要望,#FFE066
16,帰りのバスが少ない,怒り・不満,#FF5C5C
17,帰りのバスが少ない,怒り・不満,#FF5C5C
18,バス,その他,#F4F4F4
19,バスの本数を増やして欲しい。,願い・要望,#FFE066
20,"バス本数増やしてるけど時間が合ってない。
バスをもっと効率よく増やしてほしい",願い・要望,#FFE066
21,"バスの本数を増やして欲しい。
Wi-Fi状況が悪い。",願い・要望,#FFE066
22,テストの帰りのバスを増やして欲しい。,願い・要望,#FFE066
23,"バスの追い抜かし
テスト期間のバスが少ない",怒り・不満,#FF5C5C
24,"テスト前やテスト後のバス増便をいち早く
校則を戻して",願い・要望,#FFE066
25,7限終了後の時間の帰りのバスを増やしてほしい,願い・要望,#FFE066
26,休日のバスが少ないため、休日に部活があった人が歩いて帰っていたり30分くらい(1時間とかの時もある)待たないといけない状態にある。,怒り・不満,#FF5C5C
27,"食堂の列の待ち時間
テスト日のバスの本数",その他,#F4F4F4
28,帰りと行きのバスを増やして欲しい,願い・要望,#FFE066
29,バスの本数が少なくて行列ができてしまうこと。,怒り・不満,#FF5C5C
30,バスの順番を抜かされる。,その他,#F4F4F4
31,バスの順番抜かしが多い。,その他,#F4F4F4
32,バスの順番抜かし,その他,#F4F4F4
33,バスの順番抜かし,その他,#F4F4F4
34,バス停での抜かしがえぐい,その他,#F4F4F4
35,"バスの順番抜かしが多い。
友達がいるからとかで何人も前に行くと、もともと並んでいた人がなかなかバスに乗れない。
予定があって急がないと行けない人もいるから、順番は守ってほしい。",願い・要望,#FFE066
36,"バスの順番抜かしが多い。
友達がいるからとかで何人も前に行くと、もともと並んでいた人がなかなかバスに乗れない。
予定があって急がないと行けない人もいるから、順番は守ってほしい。",願い・要望,#FFE066
37,バス停に列を作れるように仕切りを作って欲しい,願い・要望,#FFE066
38,バスの順番を抜かす人が多発している,その他,#F4F4F4
39,"とあるAltの先生がバス待ちしている生徒を抜かしている。
そのせいで、生徒も抜かしてもいいんだという考えが生まれてしまうと思う。
生徒だけでなく先生も含めて学校全体としてバス待ちのルールを守るべきだと思う。
あとふつうにマナーってもんがあるやろ、育ち出てるで。
人に迷惑かけんな。",提案・改善案,#FFA24D
40,"とあるAltの先生がバス待ちしている生徒を抜かしている。
そのせいで、生徒も抜かしてもいいんだという考えが生まれてしまうと思う。
生徒だけでなく先生も含めて学校全体としてバス待ちのルールを守るべきだと思う。
あとふつうにマナーってもんがあるやろ、育ち出てるで。
人に迷惑かけんな。",提案・改善案,#FFA24D
41,バスの順番が抜かされる。,その他,#F4F4F4
42,"毎朝バスの列に並んでいるにも関わらず列を抜かす生徒が多いです。
この状況が続くならバスを待つ列に並なくてもいい。
抜かすことが当たり前と生徒が誤認します。",その他,#F4F4F4
43,"毎朝バスの列に並んでいるにも関わらず列を抜かす生徒が多いです。
この状況が続くならバスを待つ列に並なくてもいい。
抜かすことが当たり前と生徒が誤認します。",その他,#F4F4F4
44,"毎朝バスの列に並んでいるにも関わらず列を抜かす生徒が多いです。
この状況が続くならバスを待つ列に並なくてもいい。
抜かすことが当たり前と生徒が誤認します。",その他,#F4F4F4
45,バス停の並び改善,提案・改善案,#FFA24D
46,バスの順番抜かしをなくして欲しい,願い・要望,#FFE066
47,"せめて行事の時にスマホOKにしてほしい
バスの行列を抜かすのをどうにかして欲しい",願い・要望,#FFE066
48,バスの列,その他,#F4F4F4
49,"食堂が混みすぎている
バスの追い抜かし",その他,#F4F4F4
50,バスで順番を抜かす人が多い,その他,#F4F4F4
51,バスの順番抜かしが多いのと列が長いので改善して欲しい,願い・要望,#FFE066
52,"バスの追い抜かし
テスト期間のバスが少ない",怒り・不満,#FF5C5C
53,バスで追い抜かしてくる人がいる,その他,#F4F4F4
54,バス停の列。整備しないと、並んでる意味がない,怒り・不満,#FF5C5C
55,バスで抜かす人がいる,その他,#F4F4F4
56,バスの順番抜かしが多い,その他,#F4F4F4
57,バスの並びを抜かす人が多い。,その他,#F4F4F4
58,"購買が高い
バス待ちのときに抜かされる。とくに女子バスケ部やアメフト部",その他,#F4F4F4
59,バス長め,その他,#F4F4F4
60,"テスト期間のバスの混みがすごいから、バスの本数を増やすなりしてほしい。
定期も買っているのに乗れないという状況がおかしい。",願い・要望,#FFE066
61,食堂の進みが遅すぎる。生協だけじゃなくて食堂にもっと人を増やしてほしい。バス混みすぎ,願い・要望,#FFE066
62,"テスト期間中のバスの便の時間帯を、生徒が利用する時間に変えてほしい。
バスが早すぎて乗れないから、みんな経由バスに乗って一般の人が乗れなくなってる。それで便数が多いはずなのに、人が多くてスムーズに帰れない。",願い・要望,#FFE066
63,バスの待ち時間が長い,その他,#F4F4F4
64,食堂、バスの混雑,その他,#F4F4F4
65,"バス停とか食堂とか混みすぎ
バスに関してはもっと詰めたら乗れるのに詰めなかったり席に座らない人がいる。",怒り・不満,#FF5C5C
66,"バス停とか食堂とか混みすぎ
バスに関してはもっと詰めたら乗れるのに詰めなかったり席に座らない人がいる。",怒り・不満,#FF5C5C
67,バスめっちゃ並ぶ,その他,#F4F4F4
68,バスの順番抜かしが多いのと列が長いので改善して欲しい,願い・要望,#FFE066
69,バスと食堂の待ち時間が長い,その他,#F4F4F4
70,朝のバス無理やり入れないで欲しい。,願い・要望,#FFE066
71,購買、食堂、ばすの列長い,その他,#F4F4F4
72,バスの待ち時間が長い,その他,#F4F4F4
73,バス待ちが長い,その他,#F4F4F4
74,テストの間はバスの時間を見直してほしい,願い・要望,#FFE066
75,テストの日のバスの時間を調節して欲しい,願い・要望,#FFE066
76,"上の防寒は自由ならスカートの下も自由にして欲しいです。学校内は大丈夫だけど、外は寒いので登下校だけ許可して欲しいです。
特にテスト期間で定期代を払っているのにバスがなくて歩くのはおかしいと思います。",願い・要望,#FFE066
77,テストの日のバスがなかったから、バスの時間を見直して欲しい,願い・要望,#FFE066
78,"テスト期間中のバスの便の時間帯を、生徒が利用する時間に変えてほしい。
バスが早すぎて乗れないから、みんな経由バスに乗って一般の人が乗れなくなってる。それで便数が多いはずなのに、人が多くてスムーズに帰れない。",願い・要望,#FFE066
79,テスト期間のバスの増便の時間がおかしい。めっちゃ待ったり、テスト終わりには増便が無くなってたりする。できれば改善してほしいです。,願い・要望,#FFE066
80,"バス本数増やしてるけど時間が合ってない。
バスをもっと効率よく増やしてほしい",願い・要望,#FFE066
81,バスの遅延がしっかり判断できるようにして、その遅刻は無効にして欲しい,願い・要望,#FFE066
82,"時計を２つにするか場所をずらしてほしい
バスの混雑状況の可視化
廊下のWi-Fi設備の強化",願い・要望,#FFE066
83,"スカートでの防寒対策の選択肢を増やしてほしい。
バス乗り場にモニター置いて混み具合確認できるようにしてほしい。
自習室のイス変えてほしい",願い・要望,#FFE066
84,バスの効率が悪い,その他,#F4F4F4
85,食堂並ぶ時間が長すぎて食べる時間が全然ない。電子レンジの数も少なく時間がなくなる,怒り・不満,#FF5C5C
86,食堂の回転率をあげてほしい,願い・要望,#FFE066
87,食堂の待ち時間が長い,その他,#F4F4F4
88,食堂のレジをもっと増やしてほしい、あと並ぶ場所をもっと整備して欲しい。,願い・要望,#FFE066
89,食堂の代表待ちを禁止して欲しい,願い・要望,#FFE066
90,生協でレジ待ち列が商品の前にあるから商品を取りずらい,その他,#F4F4F4
91,食堂のレジが混みすぎている,その他,#F4F4F4
92,食堂の待ち時間を減らしてほしい,願い・要望,#FFE066
93,食堂の並ぶ時間が長い,その他,#F4F4F4
94,食堂の列が長い,その他,#F4F4F4
95,昼休みが短い,その他,#F4F4F4
96,食堂時間かかる,その他,#F4F4F4
97,食堂の行列をどうにかしてほしい。,願い・要望,#FFE066
98,学食の回転率,その他,#F4F4F4
99,カフェテリア混みすぎ,その他,#F4F4F4
100,食堂が長い,その他,#F4F4F4
101,学食人多い,その他,#F4F4F4
102,食堂の待ち時間が長い,その他,#F4F4F4
103,食堂、購買の行列をどうにかして無くしたいです。,願い・要望,#FFE066
104,"給水機から出る水が金属臭いので新しくして欲しい
食堂で女子が大量に割り込んでくる",願い・要望,#FFE066
105,キッチンカー呼んで欲しい！！そしたら購買や食堂の列も解消される上に競争が生まれて両者がより良い場となる！！,願い・要望,#FFE066
106,"食堂で抜かす奴がいる
だいたい女子
あとだいたいそういう奴小頼みがち",その他,#F4F4F4
107,"食堂が混みすぎている
バスの追い抜かし",その他,#F4F4F4
108,"食堂の丼の列が長すぎる
丼は人気だから、もう少し人手を増やしてほしい",願い・要望,#FFE066
109,"廊下狭い
食堂の列長い",その他,#F4F4F4
110,食堂の待ち時間短縮,その他,#F4F4F4
111,食堂がすごく混んでいる事,その他,#F4F4F4
112,食堂のレジ待ちが長すぎる,その他,#F4F4F4
113,"スマホ使用ok
食堂・購買の混雑を減らす",その他,#F4F4F4
114,食堂混みすぎ,その他,#F4F4F4
115,食堂の列に並ぶ時間がとても長い。体育祭、文化祭に並ぶ行事が3学期に欲しい。球技大会とか,願い・要望,#FFE066
116,"食堂の列の待ち時間
テスト日のバスの本数",その他,#F4F4F4
117,食堂の回転率,その他,#F4F4F4
118,食堂の列が全然進まない,怒り・不満,#FF5C5C
119,食堂の待ち時間が長い。,その他,#F4F4F4
120,食堂の回転率どうにかして,その他,#F4F4F4
121,食堂をもうちょい並ばないようにしてほしい。,願い・要望,#FFE066
122,購買、食堂、ばすの列長い,その他,#F4F4F4
123,購買の並ぶ時間が長い,その他,#F4F4F4
124,食堂の回転率です,その他,#F4F4F4
125,"食堂の待ち時間をもっと短縮してほしい。
早く行っても人が多くて、授業が始まるギリギリに教室に戻ることが多い。",願い・要望,#FFE066
126,"食堂の待ち時間をもっと短縮してほしい。
早く行っても人が多くて、授業が始まるギリギリに教室に戻ることが多い。",願い・要望,#FFE066
127,食堂の回転を早くして欲しい,願い・要望,#FFE066
128,食堂の列,その他,#F4F4F4
129,食堂の待ち時間短縮,その他,#F4F4F4
130,"食堂の並ぶ時間が長すぎる。
購買が狭い",その他,#F4F4F4
131,食堂のレジを増やしてほしい,願い・要望,#FFE066
132,食堂の進みが遅すぎる。生協だけじゃなくて食堂にもっと人を増やしてほしい。バス混みすぎ,願い・要望,#FFE066
133,食堂のレジをもっと増やしてほしい、あと並ぶ場所をもっと整備して欲しい。,願い・要望,#FFE066
134,人が足りていないので食堂の店員さんの数を増やして欲しい,願い・要望,#FFE066
135,食堂のレジが足りない,怒り・不満,#FF5C5C
136,食堂のレジを増やして欲しい,願い・要望,#FFE066
137,"食堂の丼の列が長すぎる
丼は人気だから、もう少し人手を増やしてほしい",願い・要望,#FFE066
138,食堂のレジたりない,怒り・不満,#FF5C5C
139,"食堂の待ち時間が長い。
レジの数を増やして欲しい。",願い・要望,#FFE066
140,食堂で担々麺を売って欲しい,願い・要望,#FFE066
141,定食が欲しいです,願い・要望,#FFE066
142,購買のものが少ない。,怒り・不満,#FF5C5C
143,購買のご飯がすぐなくなる,その他,#F4F4F4
144,購買のパンの種類もっと増やして欲しい,願い・要望,#FFE066
145,食堂のメニューを増やしてほしい,願い・要望,#FFE066
146,購買でもっと品揃えをよくしてほしい,願い・要望,#FFE066
147,キッチンカー呼んで欲しい！！そしたら購買や食堂の列も解消される上に競争が生まれて両者がより良い場となる！！,願い・要望,#FFE066
148,キッチンカーを呼んで欲しい,願い・要望,#FFE066
149,購買を広くする,その他,#F4F4F4
150,"食堂の並ぶ時間が長すぎる。
購買が狭い",その他,#F4F4F4
151,購買が閉まる時間が早すぎる。掃除当番にあたったら買いに行けないので、せめて４時半までの営業にしてほしい。,願い・要望,#FFE066
152,放課後の購買の時間,その他,#F4F4F4
153,購買高い。,その他,#F4F4F4
154,"購買が高い
バス待ちのときに抜かされる。とくに女子バスケ部やアメフト部",その他,#F4F4F4
155,食堂並ぶ時間が長すぎて食べる時間が全然ない。電子レンジの数も少なく時間がなくなる,怒り・不満,#FF5C5C
156,アイリスグラウンドから見えやすい時計が欲しい,願い・要望,#FFE066
157,"時計を２つにするか場所をずらしてほしい
バスの混雑状況の可視化
廊下のWi-Fi設備の強化",願い・要望,#FFE066
158,時計が狂っているところがまあまあある,その他,#F4F4F4
159,学校内の時計の数を増やして欲しい,願い・要望,#FFE066
160,時計が見にくい,その他,#F4F4F4
161,プロジェクターで時計が見にくいので教室に時計が2つ欲しい,願い・要望,#FFE066
162,時計の時間が狂っているのを直して欲しい,願い・要望,#FFE066
163,教室の時計が蛍光灯の反射で何も見えない,怒り・不満,#FF5C5C
164,教室の時計を増やして欲しい,願い・要望,#FFE066
165,時計の位置がプロジェクターで見えにくい,その他,#F4F4F4
166,学校の廊下にある時計が大体狂ってるのが困る。特に一階フロアの時計。,不安・心配,#5BC0FF
167,時計が見えづらくて不便,不安・心配,#5BC0FF
168,"校内のWi-Fiをもっと整備してほしい
クラスに一個ルーターとか",願い・要望,#FFE066
169,"校内のWi-Fiをもっと整備してほしい
クラスに一個ルーターとか",願い・要望,#FFE066
170,"時計を２つにするか場所をずらしてほしい
バスの混雑状況の可視化
廊下のWi-Fi設備の強化",願い・要望,#FFE066
171,はにわスタイルOKにして欲しい。あと学校のネット環境,願い・要望,#FFE066
172,体操服で授業受けたい。Wi-Fi弱い,その他,#F4F4F4
173,廊下やフロアで作業することもあるから、廊下とかでもWi-Fiがしっかり繋がるようにしてほしい。,願い・要望,#FFE066
174,ネット環境改善,提案・改善案,#FFA24D
175,ネット環境をもう少し良くしてほしい。canvaやロイロを使っていると急に動きがラグくなって困っている。,願い・要望,#FFE066
176,Wi-Fiの通信が遅い点,その他,#F4F4F4
177,"バスの本数を増やして欲しい。
Wi-Fi状況が悪い。",願い・要望,#FFE066
178,Wi-Fiの聞きやすさの差がすごい,その他,#F4F4F4
179,Wi-Fi接続が重い時があるのでスムーズに出来るようになってほしい,願い・要望,#FFE066
180,トレーニングルームでバイクとかトレッドミルが故障してんのになおしてくれない。授業中iPadで違うことしてる人が多い。,怒り・不満,#FF5C5C
181,机の引き出し、横のフックがないことが不便,不安・心配,#5BC0FF
182,体育館のシューズを入れるロッカーの通路を広くして欲しい,願い・要望,#FFE066
183,プロジェクターが見づらいことがある,その他,#F4F4F4
184,自習室の椅子変えて欲しい,願い・要望,#FFE066
185,FT自習室の椅子を変えて欲しい,願い・要望,#FFE066
186,自習室の椅子変えてほしい,願い・要望,#FFE066
187,机に引き出しをつけて欲しい,願い・要望,#FFE066
188,自習室のイス使いにくい,その他,#F4F4F4
189,自習室の椅子を改善して欲しい,願い・要望,#FFE066
190,机に引き出しが欲しい,願い・要望,#FFE066
191,自習室の椅子硬いから変えてほしーです,その他,#F4F4F4
192,全校集会の時のロッカーの混雑をどうにかして欲しい,願い・要望,#FFE066
193,机に引き出しがなかったりで不便,不安・心配,#5BC0FF
194,"スカートでの防寒対策の選択肢を増やしてほしい。
バス乗り場にモニター置いて混み具合確認できるようにしてほしい。
自習室のイス変えてほしい",願い・要望,#FFE066
195,フロアが汚いこと。クレオさんの掃除が足りないという意味ではなく、自分達の手によってさらに悪くしてしまっている感じがする。,怒り・不満,#FF5C5C
196,教室の前にベンチが欲しい,願い・要望,#FFE066
197,体育館の下駄箱が混む,その他,#F4F4F4
198,"廊下狭い
食堂の列長い",その他,#F4F4F4
199,"エアコンを各教室で操作できるようにしたい。
クラスによって暑い寒いの意見があるし、単に教室の位置関係で室温が違う。",願い・要望,#FFE066
200,"エアコンを各教室で操作できるようにしたい。
クラスによって暑い寒いの意見があるし、単に教室の位置関係で室温が違う。",願い・要望,#FFE066
201,暖房強くしてほしい,願い・要望,#FFE066
202,冷房、暖房の温度を変更できるようにしてほしい,願い・要望,#FFE066
203,エアコンを使える期間が短い,その他,#F4F4F4
204,部室があるところの給水機が壊れている,その他,#F4F4F4
205,自販機増やして欲しい,願い・要望,#FFE066
206,"給水機から出る水が金属臭いので新しくして欲しい
食堂で女子が大量に割り込んでくる",願い・要望,#FFE066
207,外に置いてあるウォーターサーバーが故障したまま放置されているものが多いので直してほしい,願い・要望,#FFE066
208,駐輪場のくもの巣がひどい。,怒り・不満,#FF5C5C
209,駐輪場の蜘蛛の巣を掃除してほしい。,願い・要望,#FFE066
210,"駐輪場の清掃、蜘蛛の巣とか汚れとか見るに耐えない
汚い駐輪場から始まる学校生活嫌",怒り・不満,#FF5C5C
211,"駐輪場の清掃、蜘蛛の巣とか汚れとか見るに耐えない
汚い駐輪場から始まる学校生活嫌",怒り・不満,#FF5C5C
212,部室をテスト期間にも空けられるようにして欲しい,願い・要望,#FFE066
213,テニスコートが土ですべりやすくケガが増えるため人工芝にしてほしい,願い・要望,#FFE066
214,部室の空調設備や破損部位などの経費を出してほしい,願い・要望,#FFE066
215,部活の鍵を職員室で借りられるようにして欲しい,願い・要望,#FFE066
216,まじ寮欲しい,願い・要望,#FFE066
217,学生寮を作ってほしい,願い・要望,#FFE066
218,強化指定のクラブにはクラブ寮を建設してほしい,願い・要望,#FFE066
219,教室の案内が分かりにくい。2103とか、2106とかの授業で使う教室に、演習室としか書いておらずどこの教室なのか分からない,怒り・不満,#FF5C5C
220,トイレにたまらないで欲しい。,願い・要望,#FFE066
221,９組側の女子トイレが混みすぎて大変。トイレの個室を増やすことはできないのでどうしようもないですが、困っています。,不安・心配,#5BC0FF
222,"体育がある日の体操服登校を許可してほしい。
更衣室が混む問題が解決していない",願い・要望,#FFE066
223,クラブハウスの更衣室の冷暖房をつけれるようにしてほしい。着替え寒すぎて…,願い・要望,#FFE066
224,せっかくの中庭のでっかい望遠鏡が使う機会なさすぎて残念、、、、もっと色んな人が活用できる場を設けて欲しい,願い・要望,#FFE066
225,スカートの防寒対策,その他,#F4F4F4
226,はにわスタイルOKにして欲しい。あと学校のネット環境,願い・要望,#FFE066
227,私服登校ありにして,その他,#F4F4F4
228,体操服で授業受けたい。Wi-Fi弱い,その他,#F4F4F4
229,下校時の服装の自由（部活着も許可して欲しい）,願い・要望,#FFE066
230,"上の防寒は自由ならスカートの下も自由にして欲しいです。学校内は大丈夫だけど、外は寒いので登下校だけ許可して欲しいです。
特にテスト期間で定期代を払っているのにバスがなくて歩くのはおかしいと思います。",願い・要望,#FFE066
231,はにわをオッケーにしてほしい。登下校の時は許してほしい。パーカーがいいなら、はにわがダメな理由は何？,願い・要望,#FFE066
232,はにわをオッケーにしてほしい。登下校の時は許してほしい。パーカーがいいなら、はにわがダメな理由は何？,願い・要望,#FFE066
233,体操服で授業を受けさせてほしい,願い・要望,#FFE066
234,授業体操服でうけたい,その他,#F4F4F4
235,登下校だけでもはにわさせてほしい,願い・要望,#FFE066
236,ハニワが許されてほしい。レギンスとかじゃ寒いので,願い・要望,#FFE066
237,ハニワが許されてほしい。レギンスとかじゃ寒いので,願い・要望,#FFE066
238,スカートが寒い、制服のズボンは高いしいちいち買ってられないのでもっと他の方法を考えて欲しい(冬は体操服登校可など),願い・要望,#FFE066
239,学校内ではにわがだめでも登校のときはオッケーにして欲しい。,願い・要望,#FFE066
240,"治安
私服登校(寒暖対策があまりないためよく風邪をひくため)",怒り・不満,#FF5C5C
241,ブレザーの下にパーカー着るのはオッケーなのになんでハニワがだめかわからない。オッケーにしてほしい,願い・要望,#FFE066
242,スカートの下にズボンを履く,その他,#F4F4F4
243,体操服で授業を受けさせてほしい,願い・要望,#FFE066
244,自転車ほんまにめちゃ寒いから、はにわOKにして欲しいです,願い・要望,#FFE066
245,"体育がある日の体操服登校を許可してほしい。
更衣室が混む問題が解決していない",願い・要望,#FFE066
246,ハニワを許可して欲しい。髪染めやピアスを許可するならハニワも許可した方が安全面的にも寒さ対策にもいいと思う。,願い・要望,#FFE066
247,"スカートでの防寒対策の選択肢を増やしてほしい。
バス乗り場にモニター置いて混み具合確認できるようにしてほしい。
自習室のイス変えてほしい",願い・要望,#FFE066
248,スカートでの防寒対策の選択肢を増やしてほしい。,願い・要望,#FFE066
249,トレーニングルームでバイクとかトレッドミルが故障してんのになおしてくれない。授業中iPadで違うことしてる人が多い。,怒り・不満,#FF5C5C
250,行事ごとでスマホをおっけいにしてほしい,願い・要望,#FFE066
251,行事の際にスマホを使えないこと,怒り・不満,#FF5C5C
252,すまほをつかいたい,その他,#F4F4F4
253,"せめて行事の時にスマホOKにしてほしい
バスの行列を抜かすのをどうにかして欲しい",願い・要望,#FFE066
254,行事の時のスマホの使用許可,その他,#F4F4F4
255,iPadの規制を厳しくするべきだ,提案・改善案,#FFA24D
256,スマホの許可,その他,#F4F4F4
257,行事の時はスマホを使えるようにしてください。,その他,#F4F4F4
258,"文化祭や体育祭の行事の時だけでもスマホ利用を認めてほしい！
思い出を残したい！",願い・要望,#FFE066
259,行事でのスマホの使用を許可して欲しい,願い・要望,#FFE066
260,スマホ触りたい,その他,#F4F4F4
261,携帯使いたいです,その他,#F4F4F4
262,"『バスを抜かしている人が居る』や『食堂が混んでる、抜かされてる』など問題は全部『この学校が問題を放置して教室の改修やどうでもいい校則の変更など生徒が求めてることをしない』と『この学校の一部の民度が悪い(例は引用元)せいで雰囲気が険悪』な事が原因の問題
学校は改善すべき問題に気付け",提案・改善案,#FFA24D
263,"『バスを抜かしている人が居る』や『食堂が混んでる、抜かされてる』など問題は全部『この学校が問題を放置して教室の改修やどうでもいい校則の変更など生徒が求めてることをしない』と『この学校の一部の民度が悪い(例は引用元)せいで雰囲気が険悪』な事が原因の問題
学校は改善すべき問題に気付け",提案・改善案,#FFA24D
264,行動しない人にもっと厳しくしてください,怒り・不満,#FF5C5C
265,"公共機関使ってる時のマナーをもう少し守った方がいいと思う。電車とかバスとか。
地域の人からの印象が悪くなってしまう。",希望・前向き,#7DFF80
266,"公共機関使ってる時のマナーをもう少し守った方がいいと思う。電車とかバスとか。
地域の人からの印象が悪くなってしまう。",希望・前向き,#7DFF80
267,バスで抜かしたり、トイレで騒いだり必要最低限のマナーがない人が多いからどうにかしてほしい,願い・要望,#FFE066
268,"とあるAltの先生がバス待ちしている生徒を抜かしている。
そのせいで、生徒も抜かしてもいいんだという考えが生まれてしまうと思う。
生徒だけでなく先生も含めて学校全体としてバス待ちのルールを守るべきだと思う。
あとふつうにマナーってもんがあるやろ、育ち出てるで。
人に迷惑かけんな。",提案・改善案,#FFA24D
269,校則が緩和されたことで、逆に学校外でもそのままになっている。学校の校則は公共の場ではだいぶ緩くなっている,その他,#F4F4F4
270,民度,その他,#F4F4F4
271,一回注意されたにも関わらずトイレでTikTokを撮っている人がいて、プライバシーが守られていないように感じる。他人が映っていなかったとしても、トイレでカメラを回す行為はおかしい。,怒り・不満,#FF5C5C
272,"電車では声の大きさを調整してほしい。
大きい人がいると休みたくても休めない。",願い・要望,#FFE066
273,"電車では声の大きさを調整してほしい。
大きい人がいると休みたくても休めない。",願い・要望,#FFE066
274,腹を空かして食堂に並んでいるときに割り込まれるとマジで腹が立ちますね,その他,#F4F4F4
275,学校の校則、公共のマナー、順番を守るなど当たり前のことを守れない人が多すぎる。こういう常識のない人たちの行動が学校の評価に直結する,怒り・不満,#FF5C5C
276,身だしなみが乱れている人がいるので、制服に関する規定を戻した方がいいと思う。,提案・改善案,#FFA24D
277,"『バスを抜かしている人が居る』や『食堂が混んでる、抜かされてる』など問題は全部『この学校が問題を放置して教室の改修やどうでもいい校則の変更など生徒が求めてることをしない』と『この学校の一部の民度が悪い(例は引用元)せいで雰囲気が険悪』な事が原因の問題
学校は改善すべき問題に気付け",提案・改善案,#FFA24D
278,"テスト前やテスト後のバス増便をいち早く
校則を戻して",願い・要望,#FFE066
279,校則が緩くなりすぎてめちゃくちゃになってる。変えてよくなったところが見つからない,怒り・不満,#FF5C5C
280,"部活内独自のルールはいいの？
良いのであれば、独自のルールを認めると校則に書いて欲しい",願い・要望,#FFE066
281,"部活内独自のルールはいいの？
良いのであれば、独自のルールを認めると校則に書いて欲しい",願い・要望,#FFE066
282,"行事を増やしてほしい
球技大会とか",願い・要望,#FFE066
283,"行事を増やしてほしい
球技大会とか",願い・要望,#FFE066
284,２学期の行事が欲しい,願い・要望,#FFE066
285,高校でも合唱コンクールをやりたいです！お願いします！！,その他,#F4F4F4
286,"文化祭が終わった後の2.3学期がちょっと暇。
学校に行きたくなる楽しいことが他にもほしい！",願い・要望,#FFE066
287,球技大会が欲しい,願い・要望,#FFE066
288,球技大会がしたい,願い・要望,#FFE066
289,行事増やして欲しい。,願い・要望,#FFE066
290,食堂の列に並ぶ時間がとても長い。体育祭、文化祭に並ぶ行事が3学期に欲しい。球技大会とか,願い・要望,#FFE066
291,イベント事が文化祭以降に何も無くて楽しみがない,怒り・不満,#FF5C5C
292,文化系(将棋など)の学校大会を開催したい,願い・要望,#FFE066
293,行事を増やしてほしい。2学期後半からすることなくなる,願い・要望,#FFE066
294,文化祭他学年との交流少ない,怒り・不満,#FF5C5C
295,学年ごとのイベントが少ない,怒り・不満,#FF5C5C
296,"FTの自習室毎日あけてほしい
日曜日が基本的に空いてない",願い・要望,#FFE066
297,"FTの自習室毎日あけてほしい
日曜日が基本的に空いてない",願い・要望,#FFE066
298,日曜日も教室あけてほしい,願い・要望,#FFE066
299,生徒会何やってるかが全く分からない。liquid も使う目的よく分かってないし、生徒会選挙も断りなく制度変えられるし、活動内容と目的をはっきりさせるべき。,提案・改善案,#FFA24D
300,受験に特化したのがFTコースのみで、例えばAMでもGLでも授業の進度が最低限受験に間に合うように進めるカリキュラムにしてほしい。,願い・要望,#FFE066
301,大学の内部進学条件をもっと厳しくしていいとおもう,提案・改善案,#FFA24D
302,"中学の受験をもっと厳しくした方が良いと思う。
中入生で良い人もいるけど将来同じ学校出身だと言われるのが嫌なくらいレベルの低い人もいるから。",提案・改善案,#FFA24D
303,AMGLでも受験に対応できるような勉強の機会を増やしてほしい。,願い・要望,#FFE066
304,先生が課題や自分の考えを評価してくれません。もちろん抽象的な表現はいっさい使っていません。,悲しみ・孤独,#7C6CFF
